statecode,policyID,county_name,line
FL,403866,SUWANNEE COUNTY,Residential
FL,828788,SUWANNEE COUNTY,Residential
FL,751490,SUWANNEE COUNTY,Residential
FL,972562,SUWANNEE COUNTY,Residential
FL,367541,SUWANNEE COUNTY,Residential
FL,481360,SUWANNEE COUNTY,Residential
FL,920232,NASSAU COUNTY,Residential
FL,727659,NASSAU COUNTY,Residential
FL,471817,NASSAU COUNTY,Residential
FL,983043,NASSAU COUNTY,Residential
FL,578286,NASSAU COUNTY,Residential
FL,347276,NASSAU COUNTY,Residential
FL,477786,NASSAU COUNTY,Commercial
FL,265907,NASSAU COUNTY,Residential
FL,107560,NASSAU COUNTY,Residential
FL,908183,NASSAU COUNTY,Residential
FL,356024,NASSAU COUNTY,Residential
FL,575299,NASSAU COUNTY,Residential
FL,790478,NASSAU COUNTY,Residential
FL,801776,NASSAU COUNTY,Residential
FL,291781,NASSAU COUNTY,Residential
FL,537286,NASSAU COUNTY,Residential
FL,289305,COLUMBIA COUNTY,Residential
FL,697409,COLUMBIA COUNTY,Residential
FL,633944,COLUMBIA COUNTY,Residential
FL,963511,COLUMBIA COUNTY,Residential
FL,729649,COLUMBIA COUNTY,Residential
FL,862584,COLUMBIA COUNTY,Residential
FL,371891,COLUMBIA COUNTY,Residential
FL,785595,COLUMBIA COUNTY,Residential
FL,567696,COLUMBIA COUNTY,Residential
FL,219025,COLUMBIA COUNTY,Residential
FL,447216,COLUMBIA COUNTY,Residential
FL,305141,COLUMBIA COUNTY,Residential
FL,625575,COLUMBIA COUNTY,Residential
FL,262109,COLUMBIA COUNTY,Residential
FL,228457,COLUMBIA COUNTY,Residential
FL,622799,COLUMBIA COUNTY,Residential
FL,233271,COLUMBIA COUNTY,Commercial
FL,932950,COLUMBIA COUNTY,Residential
FL,641952,COLUMBIA COUNTY,Commercial
FL,796260,COLUMBIA COUNTY,Residential
FL,301822,COLUMBIA COUNTY,Commercial
FL,559927,COLUMBIA COUNTY,Residential
FL,224400,COLUMBIA COUNTY,Residential
FL,123936,COLUMBIA COUNTY,Commercial
FL,333818,COLUMBIA COUNTY,Residential
FL,254323,COLUMBIA COUNTY,Residential
FL,247444,COLUMBIA COUNTY,Residential
FL,882598,COLUMBIA COUNTY,Residential
FL,386918,COLUMBIA COUNTY,Residential
FL,497337,COLUMBIA COUNTY,Residential
FL,526844,COLUMBIA COUNTY,Commercial
FL,623400,COLUMBIA COUNTY,Residential
FL,826170,COLUMBIA COUNTY,Residential
FL,185483,COLUMBIA COUNTY,Residential
FL,920003,COLUMBIA COUNTY,Residential
FL,274246,COLUMBIA COUNTY,Residential
FL,423636,COLUMBIA COUNTY,Residential
FL,970906,COLUMBIA COUNTY,Commercial
FL,227898,COLUMBIA COUNTY,Residential
FL,525138,COLUMBIA COUNTY,Residential
FL,923627,COLUMBIA COUNTY,Residential
FL,619743,COLUMBIA COUNTY,Residential
FL,910727,COLUMBIA COUNTY,Residential
FL,363647,COLUMBIA COUNTY,Residential
FL,512519,COLUMBIA COUNTY,Residential
FL,904304,COLUMBIA COUNTY,Residential
FL,835349,COLUMBIA COUNTY,Residential
FL,891725,COLUMBIA COUNTY,Residential
FL,923503,COLUMBIA COUNTY,Residential
FL,292347,COLUMBIA COUNTY,Residential
FL,363828,COLUMBIA COUNTY,Residential
FL,110490,COLUMBIA COUNTY,Residential
FL,480733,COLUMBIA COUNTY,Residential
FL,993346,COLUMBIA COUNTY,Residential
FL,934992,ST  JOHNS COUNTY,Residential
FL,645841,ST  JOHNS COUNTY,Residential
FL,747846,ST  JOHNS COUNTY,Residential
FL,482457,ST  JOHNS COUNTY,Residential
FL,574787,ST  JOHNS COUNTY,Residential
FL,831418,ST  JOHNS COUNTY,Residential
FL,968562,ST  JOHNS COUNTY,Residential
FL,576324,ST  JOHNS COUNTY,Residential
FL,290435,ST  JOHNS COUNTY,Residential
FL,526086,ST  JOHNS COUNTY,Residential
FL,119823,ST  JOHNS COUNTY,Residential
FL,497414,ST  JOHNS COUNTY,Residential
FL,340883,ST  JOHNS COUNTY,Residential
FL,892551,ST  JOHNS COUNTY,Residential
FL,670595,ST  JOHNS COUNTY,Residential
FL,194101,ST  JOHNS COUNTY,Residential
FL,167200,ST  JOHNS COUNTY,Residential
FL,139064,ST  JOHNS COUNTY,Residential
FL,846636,ST  JOHNS COUNTY,Residential
FL,310177,NASSAU COUNTY,Residential
FL,865452,NASSAU COUNTY,Residential
FL,783429,NASSAU COUNTY,Residential
FL,878060,NASSAU COUNTY,Residential
FL,935342,NASSAU COUNTY,Residential
FL,456376,NASSAU COUNTY,Residential
FL,363001,NASSAU COUNTY,Residential
FL,478864,NASSAU COUNTY,Residential
FL,600402,NASSAU COUNTY,Commercial
FL,483983,NASSAU COUNTY,Residential
FL,991615,NASSAU COUNTY,Residential
FL,644573,NASSAU COUNTY,Residential
FL,853278,NASSAU COUNTY,Residential
FL,100658,NASSAU COUNTY,Residential
FL,433115,NASSAU COUNTY,Residential
FL,760337,NASSAU COUNTY,Residential
FL,884738,NASSAU COUNTY,Residential
FL,610102,NASSAU COUNTY,Commercial
FL,830823,NASSAU COUNTY,Residential
FL,618364,NASSAU COUNTY,Residential
FL,712563,NASSAU COUNTY,Residential
FL,493030,NASSAU COUNTY,Residential
FL,188150,NASSAU COUNTY,Commercial
FL,589642,NASSAU COUNTY,Residential
FL,846109,NASSAU COUNTY,Residential
FL,399079,NASSAU COUNTY,Residential
FL,680135,NASSAU COUNTY,Residential
FL,621379,NASSAU COUNTY,Residential
FL,606710,NASSAU COUNTY,Residential
FL,443319,NASSAU COUNTY,Residential
FL,228591,NASSAU COUNTY,Residential
FL,721610,NASSAU COUNTY,Residential
FL,507395,NASSAU COUNTY,Residential
FL,213399,NASSAU COUNTY,Residential
FL,579400,NASSAU COUNTY,Residential
FL,509951,NASSAU COUNTY,Residential
FL,930798,NASSAU COUNTY,Residential
FL,729247,NASSAU COUNTY,Residential
FL,288344,NASSAU COUNTY,Residential
FL,275351,NASSAU COUNTY,Residential
FL,976690,NASSAU COUNTY,Residential
FL,507111,NASSAU COUNTY,Residential
FL,547458,NASSAU COUNTY,Residential
FL,827732,NASSAU COUNTY,Residential
FL,229489,NASSAU COUNTY,Residential
FL,175251,NASSAU COUNTY,Residential
FL,590043,NASSAU COUNTY,Residential
FL,476037,NASSAU COUNTY,Residential
FL,674960,NASSAU COUNTY,Residential
FL,743790,NASSAU COUNTY,Commercial
FL,817283,NASSAU COUNTY,Commercial
FL,201980,NASSAU COUNTY,Residential
FL,351505,NASSAU COUNTY,Residential
FL,798806,NASSAU COUNTY,Residential
FL,153643,NASSAU COUNTY,Residential
FL,683653,NASSAU COUNTY,Residential
FL,475264,NASSAU COUNTY,Commercial
FL,912944,NASSAU COUNTY,Residential
FL,945134,NASSAU COUNTY,Residential
FL,219959,NASSAU COUNTY,Residential
FL,793504,NASSAU COUNTY,Residential
FL,450423,NASSAU COUNTY,Residential
FL,505178,NASSAU COUNTY,Residential
FL,408688,NASSAU COUNTY,Residential
FL,477759,NASSAU COUNTY,Residential
FL,882441,NASSAU COUNTY,Residential
FL,727602,NASSAU COUNTY,Residential
FL,313226,NASSAU COUNTY,Residential
FL,337027,NASSAU COUNTY,Residential
FL,649251,NASSAU COUNTY,Residential
FL,142564,NASSAU COUNTY,Residential
FL,197782,NASSAU COUNTY,Residential
FL,709787,NASSAU COUNTY,Residential
FL,655065,NASSAU COUNTY,Residential
FL,176778,NASSAU COUNTY,Commercial
FL,559179,NASSAU COUNTY,Residential
FL,698071,NASSAU COUNTY,Residential
FL,642950,NASSAU COUNTY,Residential
FL,477240,NASSAU COUNTY,Residential
FL,672348,NASSAU COUNTY,Residential
FL,922844,NASSAU COUNTY,Residential
FL,948580,NASSAU COUNTY,Residential
FL,364552,NASSAU COUNTY,Residential
FL,561601,NASSAU COUNTY,Residential
FL,584749,NASSAU COUNTY,Residential
FL,601327,COLUMBIA COUNTY,Residential
FL,302578,COLUMBIA COUNTY,Residential
FL,756585,COLUMBIA COUNTY,Residential
FL,627591,COLUMBIA COUNTY,Residential
FL,663563,COLUMBIA COUNTY,Residential
FL,108959,COLUMBIA COUNTY,Residential
FL,951069,COLUMBIA COUNTY,Residential
FL,490641,BAKER COUNTY,Residential
FL,443968,BAKER COUNTY,Residential
FL,433688,CLAY COUNTY,Residential
FL,168578,CLAY COUNTY,Residential
FL,294375,CLAY COUNTY,Residential
FL,902110,CLAY COUNTY,Residential
FL,279816,CLAY COUNTY,Residential
FL,994565,CLAY COUNTY,Residential
FL,930535,CLAY COUNTY,Residential
FL,844642,CLAY COUNTY,Residential
FL,292887,CLAY COUNTY,Residential
FL,655128,CLAY COUNTY,Residential
FL,164038,CLAY COUNTY,Residential
FL,163057,CLAY COUNTY,Residential
FL,327730,CLAY COUNTY,Residential
FL,218187,CLAY COUNTY,Residential
FL,697530,CLAY COUNTY,Residential
FL,619053,CLAY COUNTY,Residential
FL,431406,CLAY COUNTY,Residential
FL,256801,CLAY COUNTY,Residential
FL,571398,CLAY COUNTY,Residential
FL,239669,CLAY COUNTY,Residential
FL,530369,CLAY COUNTY,Residential
FL,948187,CLAY COUNTY,Residential
FL,571059,CLAY COUNTY,Residential
FL,470539,CLAY COUNTY,Residential
FL,791046,CLAY COUNTY,Residential
FL,563971,CLAY COUNTY,Residential
FL,823903,CLAY COUNTY,Residential
FL,812504,CLAY COUNTY,Residential
FL,597719,CLAY COUNTY,Residential
FL,716513,CLAY COUNTY,Residential
FL,378286,CLAY COUNTY,Residential
FL,698982,CLAY COUNTY,Residential
FL,624550,CLAY COUNTY,Residential
FL,666076,CLAY COUNTY,Residential
FL,474145,CLAY COUNTY,Residential
FL,572929,CLAY COUNTY,Residential
FL,640205,CLAY COUNTY,Residential
FL,295930,CLAY COUNTY,Residential
FL,823004,CLAY COUNTY,Residential
FL,230536,CLAY COUNTY,Residential
FL,936142,CLAY COUNTY,Residential
FL,724639,CLAY COUNTY,Residential
FL,119986,CLAY COUNTY,Residential
FL,603370,CLAY COUNTY,Residential
FL,532496,CLAY COUNTY,Residential
FL,786954,CLAY COUNTY,Residential
FL,416348,CLAY COUNTY,Residential
FL,506364,CLAY COUNTY,Residential
FL,311994,CLAY COUNTY,Residential
FL,807442,CLAY COUNTY,Residential
FL,235695,CLAY COUNTY,Residential
FL,481294,CLAY COUNTY,Residential
FL,292670,CLAY COUNTY,Residential
FL,127739,CLAY COUNTY,Residential
FL,869056,CLAY COUNTY,Residential
FL,514471,CLAY COUNTY,Residential
FL,903764,CLAY COUNTY,Residential
FL,192068,CLAY COUNTY,Residential
FL,109815,CLAY COUNTY,Residential
FL,495339,CLAY COUNTY,Residential
FL,752123,CLAY COUNTY,Residential
FL,412775,CLAY COUNTY,Residential
FL,249958,CLAY COUNTY,Residential
FL,754919,CLAY COUNTY,Residential
FL,829637,CLAY COUNTY,Residential
FL,931429,CLAY COUNTY,Residential
FL,565451,CLAY COUNTY,Residential
FL,722334,CLAY COUNTY,Residential
FL,630898,CLAY COUNTY,Residential
FL,166536,CLAY COUNTY,Residential
FL,469135,CLAY COUNTY,Residential
FL,678786,CLAY COUNTY,Residential
FL,284473,CLAY COUNTY,Residential
FL,499389,CLAY COUNTY,Residential
FL,541241,CLAY COUNTY,Commercial
FL,797586,CLAY COUNTY,Commercial
FL,812823,CLAY COUNTY,Residential
FL,598244,CLAY COUNTY,Residential
FL,788363,CLAY COUNTY,Residential
FL,737787,CLAY COUNTY,Residential
FL,445518,CLAY COUNTY,Residential
FL,758347,CLAY COUNTY,Residential
FL,195133,CLAY COUNTY,Residential
FL,991548,CLAY COUNTY,Residential
FL,696936,CLAY COUNTY,Residential
FL,393176,CLAY COUNTY,Residential
FL,626647,CLAY COUNTY,Residential
FL,915781,CLAY COUNTY,Residential
FL,827852,CLAY COUNTY,Residential
FL,800420,CLAY COUNTY,Residential
FL,728346,CLAY COUNTY,Commercial
FL,928642,CLAY COUNTY,Residential
FL,442061,CLAY COUNTY,Residential
FL,810826,CLAY COUNTY,Residential
FL,336798,CLAY COUNTY,Residential
FL,830917,CLAY COUNTY,Residential
FL,984232,CLAY COUNTY,Residential
FL,203667,CLAY COUNTY,Residential
FL,395084,CLAY COUNTY,Residential
FL,869242,CLAY COUNTY,Residential
FL,704537,CLAY COUNTY,Residential
FL,692691,CLAY COUNTY,Residential
FL,580758,CLAY COUNTY,Residential
FL,515486,CLAY COUNTY,Residential
FL,884079,CLAY COUNTY,Residential
FL,491095,CLAY COUNTY,Residential
FL,579764,CLAY COUNTY,Residential
FL,263177,CLAY COUNTY,Residential
FL,710739,CLAY COUNTY,Residential
FL,156129,CLAY COUNTY,Residential
FL,178800,BRADFORD COUNTY,Residential
FL,406073,BRADFORD COUNTY,Residential
FL,450089,BRADFORD COUNTY,Residential
FL,894206,NASSAU COUNTY,Residential
FL,472007,NASSAU COUNTY,Residential
FL,500287,NASSAU COUNTY,Residential
FL,365732,NASSAU COUNTY,Residential
FL,365145,NASSAU COUNTY,Residential
FL,237841,NASSAU COUNTY,Residential
FL,497561,NASSAU COUNTY,Residential
FL,245837,NASSAU COUNTY,Residential
FL,732075,NASSAU COUNTY,Residential
FL,657625,NASSAU COUNTY,Commercial
FL,790556,NASSAU COUNTY,Residential
FL,207626,NASSAU COUNTY,Residential
FL,902008,NASSAU COUNTY,Residential
FL,135936,HAMILTON COUNTY,Residential
FL,997759,HAMILTON COUNTY,Residential
FL,470224,HAMILTON COUNTY,Residential
FL,367761,HAMILTON COUNTY,Residential
FL,285586,HAMILTON COUNTY,Residential
FL,122164,HAMILTON COUNTY,Residential
FL,152913,HAMILTON COUNTY,Residential
FL,655156,HAMILTON COUNTY,Residential
FL,989201,HAMILTON COUNTY,Residential
FL,207985,HAMILTON COUNTY,Residential
FL,732449,HAMILTON COUNTY,Residential
FL,665653,HAMILTON COUNTY,Residential
FL,939634,HAMILTON COUNTY,Residential
FL,981796,HAMILTON COUNTY,Residential
FL,269573,HAMILTON COUNTY,Residential
FL,602123,HAMILTON COUNTY,Residential
FL,336717,HAMILTON COUNTY,Residential
FL,238449,HAMILTON COUNTY,Residential
FL,530357,HAMILTON COUNTY,Residential
FL,896911,HAMILTON COUNTY,Residential
FL,391646,HAMILTON COUNTY,Residential
FL,710345,HAMILTON COUNTY,Residential
FL,944525,HAMILTON COUNTY,Residential
FL,800878,HAMILTON COUNTY,Residential
FL,866106,HAMILTON COUNTY,Residential
FL,204794,HAMILTON COUNTY,Residential
FL,849458,HAMILTON COUNTY,Residential
FL,806471,HAMILTON COUNTY,Residential
FL,464589,HAMILTON COUNTY,Residential
FL,591943,UNION COUNTY,Residential
FL,973133,UNION COUNTY,Residential
FL,743965,UNION COUNTY,Residential
FL,528185,UNION COUNTY,Residential
FL,219113,UNION COUNTY,Residential
FL,376803,UNION COUNTY,Residential
FL,233559,COLUMBIA COUNTY,Residential
FL,579117,COLUMBIA COUNTY,Residential
FL,517674,COLUMBIA COUNTY,Residential
FL,980808,COLUMBIA COUNTY,Residential
FL,143584,COLUMBIA COUNTY,Residential
FL,489643,COLUMBIA COUNTY,Residential
FL,986109,COLUMBIA COUNTY,Residential
FL,654640,COLUMBIA COUNTY,Residential
FL,700895,COLUMBIA COUNTY,Residential
FL,407962,COLUMBIA COUNTY,Commercial
FL,494610,COLUMBIA COUNTY,Residential
FL,744305,COLUMBIA COUNTY,Residential
FL,512991,COLUMBIA COUNTY,Residential
FL,507789,COLUMBIA COUNTY,Residential
FL,186262,COLUMBIA COUNTY,Commercial
FL,978388,COLUMBIA COUNTY,Residential
FL,784347,COLUMBIA COUNTY,Residential
FL,679408,COLUMBIA COUNTY,Residential
FL,306619,COLUMBIA COUNTY,Residential
FL,457004,COLUMBIA COUNTY,Residential
FL,329255,COLUMBIA COUNTY,Residential
FL,900892,COLUMBIA COUNTY,Residential
FL,633241,COLUMBIA COUNTY,Residential
FL,502372,COLUMBIA COUNTY,Residential
FL,719075,COLUMBIA COUNTY,Residential
FL,920786,COLUMBIA COUNTY,Residential
FL,232605,COLUMBIA COUNTY,Residential
FL,601984,COLUMBIA COUNTY,Residential
FL,459878,COLUMBIA COUNTY,Residential
FL,565530,COLUMBIA COUNTY,Residential
FL,202651,COLUMBIA COUNTY,Commercial
FL,909104,COLUMBIA COUNTY,Residential
FL,872719,COLUMBIA COUNTY,Residential
FL,997611,COLUMBIA COUNTY,Residential
FL,519606,COLUMBIA COUNTY,Residential
FL,624248,COLUMBIA COUNTY,Residential
FL,783767,COLUMBIA COUNTY,Residential
FL,285479,COLUMBIA COUNTY,Residential
FL,424793,COLUMBIA COUNTY,Residential
FL,256213,COLUMBIA COUNTY,Residential
FL,155199,COLUMBIA COUNTY,Residential
FL,830871,COLUMBIA COUNTY,Residential
FL,757768,COLUMBIA COUNTY,Residential
FL,176583,COLUMBIA COUNTY,Residential
FL,678864,COLUMBIA COUNTY,Residential
FL,854000,COLUMBIA COUNTY,Residential
FL,631978,COLUMBIA COUNTY,Residential
FL,967058,COLUMBIA COUNTY,Residential
FL,878374,COLUMBIA COUNTY,Residential
FL,113053,COLUMBIA COUNTY,Residential
FL,288738,COLUMBIA COUNTY,Residential
FL,594369,COLUMBIA COUNTY,Residential
FL,706890,COLUMBIA COUNTY,Residential
FL,536032,COLUMBIA COUNTY,Residential
FL,747825,COLUMBIA COUNTY,Residential
FL,608124,COLUMBIA COUNTY,Residential
FL,934739,COLUMBIA COUNTY,Residential
FL,757078,COLUMBIA COUNTY,Residential
FL,956518,COLUMBIA COUNTY,Residential
FL,548584,COLUMBIA COUNTY,Residential
FL,132904,COLUMBIA COUNTY,Residential
FL,111857,COLUMBIA COUNTY,Residential
FL,388383,COLUMBIA COUNTY,Residential
FL,276410,BRADFORD COUNTY,Residential
FL,546756,BRADFORD COUNTY,Residential
FL,669229,MADISON COUNTY,Residential
FL,766573,MADISON COUNTY,Residential
FL,765578,MADISON COUNTY,Residential
FL,166613,MADISON COUNTY,Commercial
FL,883261,MADISON COUNTY,Residential
FL,842655,MADISON COUNTY,Residential
FL,248167,SUWANNEE COUNTY,Residential
FL,976562,SUWANNEE COUNTY,Residential
FL,620457,SUWANNEE COUNTY,Residential
FL,336697,SUWANNEE COUNTY,Residential
FL,648295,SUWANNEE COUNTY,Residential
FL,858080,SUWANNEE COUNTY,Residential
FL,579910,SUWANNEE COUNTY,Residential
FL,735184,SUWANNEE COUNTY,Residential
FL,420445,SUWANNEE COUNTY,Residential
FL,373504,SUWANNEE COUNTY,Residential
FL,266080,SUWANNEE COUNTY,Residential
FL,178535,SUWANNEE COUNTY,Residential
FL,574531,BAKER COUNTY,Residential
FL,606491,BAKER COUNTY,Residential
FL,885991,BAKER COUNTY,Residential
FL,908170,BAKER COUNTY,Residential
FL,487022,BAKER COUNTY,Residential
FL,723719,BAKER COUNTY,Residential
FL,628922,BAKER COUNTY,Residential
FL,232316,BAKER COUNTY,Commercial
FL,151933,BAKER COUNTY,Residential
FL,225577,BAKER COUNTY,Residential
FL,443296,BAKER COUNTY,Residential
FL,747464,BAKER COUNTY,Residential
FL,548566,BAKER COUNTY,Residential
FL,510281,BAKER COUNTY,Residential
FL,481334,BAKER COUNTY,Residential
FL,621142,BAKER COUNTY,Residential
FL,907206,BAKER COUNTY,Residential
FL,963412,BAKER COUNTY,Residential
FL,561805,BAKER COUNTY,Residential
FL,177053,BAKER COUNTY,Residential
FL,888564,BAKER COUNTY,Residential
FL,399592,BAKER COUNTY,Residential
FL,616030,BAKER COUNTY,Residential
FL,671336,BAKER COUNTY,Residential
FL,914194,BAKER COUNTY,Residential
FL,632104,BAKER COUNTY,Residential
FL,895447,BAKER COUNTY,Residential
FL,969519,BAKER COUNTY,Residential
FL,149119,BAKER COUNTY,Residential
FL,804466,BAKER COUNTY,Residential
FL,688199,BAKER COUNTY,Residential
FL,977912,BAKER COUNTY,Residential
FL,312530,BAKER COUNTY,Residential
FL,154572,BAKER COUNTY,Residential
FL,299157,BAKER COUNTY,Residential
FL,358433,BAKER COUNTY,Residential
FL,131991,BAKER COUNTY,Residential
FL,844614,BAKER COUNTY,Residential
FL,735501,BAKER COUNTY,Residential
FL,703956,BAKER COUNTY,Residential
FL,547680,BAKER COUNTY,Residential
FL,562722,BAKER COUNTY,Residential
FL,820860,BAKER COUNTY,Residential
FL,894562,BAKER COUNTY,Residential
FL,577091,BAKER COUNTY,Residential
FL,755818,BAKER COUNTY,Residential
FL,839723,BAKER COUNTY,Residential
FL,118899,BAKER COUNTY,Residential
FL,612231,BAKER COUNTY,Residential
FL,163526,BAKER COUNTY,Residential
FL,278995,BAKER COUNTY,Residential
FL,875706,BAKER COUNTY,Residential
FL,712263,BAKER COUNTY,Residential
FL,241888,BAKER COUNTY,Residential
FL,115934,BAKER COUNTY,Residential
FL,214979,BAKER COUNTY,Residential
FL,601369,BAKER COUNTY,Residential
FL,859735,BAKER COUNTY,Residential
FL,868972,BAKER COUNTY,Residential
FL,369631,BAKER COUNTY,Residential
FL,130797,SUWANNEE COUNTY,Commercial
FL,770857,SUWANNEE COUNTY,Residential
FL,834275,SUWANNEE COUNTY,Residential
FL,102432,SUWANNEE COUNTY,Residential
FL,776440,SUWANNEE COUNTY,Residential
FL,945568,SUWANNEE COUNTY,Residential
FL,132404,SUWANNEE COUNTY,Residential
FL,395018,SUWANNEE COUNTY,Residential
FL,248575,SUWANNEE COUNTY,Residential
FL,812631,SUWANNEE COUNTY,Residential
FL,220621,SUWANNEE COUNTY,Residential
FL,139061,SUWANNEE COUNTY,Residential
FL,419108,SUWANNEE COUNTY,Residential
FL,391574,SUWANNEE COUNTY,Residential
FL,449147,SUWANNEE COUNTY,Residential
FL,998635,SUWANNEE COUNTY,Commercial
FL,437290,SUWANNEE COUNTY,Commercial
FL,395835,SUWANNEE COUNTY,Commercial
FL,613321,SUWANNEE COUNTY,Residential
FL,865150,SUWANNEE COUNTY,Residential
FL,635664,SUWANNEE COUNTY,Residential
FL,529300,SUWANNEE COUNTY,Residential
FL,430318,SUWANNEE COUNTY,Residential
FL,441395,SUWANNEE COUNTY,Residential
FL,294015,SUWANNEE COUNTY,Residential
FL,950097,SUWANNEE COUNTY,Commercial
FL,110324,SUWANNEE COUNTY,Residential
FL,416938,SUWANNEE COUNTY,Residential
FL,586755,SUWANNEE COUNTY,Commercial
FL,863494,SUWANNEE COUNTY,Commercial
FL,574538,SUWANNEE COUNTY,Commercial
FL,514370,SUWANNEE COUNTY,Residential
FL,373414,SUWANNEE COUNTY,Residential
FL,997019,SUWANNEE COUNTY,Residential
FL,910144,SUWANNEE COUNTY,Residential
FL,552357,SUWANNEE COUNTY,Residential
FL,655342,SUWANNEE COUNTY,Residential
FL,897773,SUWANNEE COUNTY,Residential
FL,926390,SUWANNEE COUNTY,Residential
FL,216408,SUWANNEE COUNTY,Residential
FL,548404,SUWANNEE COUNTY,Residential
FL,206428,SUWANNEE COUNTY,Residential
FL,292458,SUWANNEE COUNTY,Residential
FL,919465,SUWANNEE COUNTY,Residential
FL,630483,SUWANNEE COUNTY,Residential
FL,825224,SUWANNEE COUNTY,Residential
FL,404295,SUWANNEE COUNTY,Residential
FL,150387,SUWANNEE COUNTY,Residential
FL,946844,SUWANNEE COUNTY,Residential
FL,751897,SUWANNEE COUNTY,Commercial
FL,910845,SUWANNEE COUNTY,Residential
FL,763316,SUWANNEE COUNTY,Residential
FL,727002,SUWANNEE COUNTY,Residential
FL,559336,SUWANNEE COUNTY,Residential
FL,236251,SUWANNEE COUNTY,Residential
FL,529747,SUWANNEE COUNTY,Residential
FL,858323,SUWANNEE COUNTY,Residential
FL,158617,SUWANNEE COUNTY,Residential
FL,334713,SUWANNEE COUNTY,Residential
FL,318842,SUWANNEE COUNTY,Residential
FL,649501,SUWANNEE COUNTY,Residential
FL,445540,SUWANNEE COUNTY,Residential
FL,371999,SUWANNEE COUNTY,Residential
FL,218472,SUWANNEE COUNTY,Residential
FL,580250,SUWANNEE COUNTY,Residential
FL,907556,SUWANNEE COUNTY,Residential
FL,327269,SUWANNEE COUNTY,Residential
FL,892361,SUWANNEE COUNTY,Residential
FL,398442,SUWANNEE COUNTY,Residential
FL,423598,SUWANNEE COUNTY,Residential
FL,327184,SUWANNEE COUNTY,Residential
FL,314582,SUWANNEE COUNTY,Commercial
FL,975779,SUWANNEE COUNTY,Residential
FL,337568,SUWANNEE COUNTY,Commercial
FL,459597,SUWANNEE COUNTY,Residential
FL,511988,SUWANNEE COUNTY,Residential
FL,455917,SUWANNEE COUNTY,Residential
FL,304879,SUWANNEE COUNTY,Residential
FL,881425,SUWANNEE COUNTY,Residential
FL,208817,SUWANNEE COUNTY,Residential
FL,918862,SUWANNEE COUNTY,Residential
FL,523984,SUWANNEE COUNTY,Residential
FL,226520,SUWANNEE COUNTY,Residential
FL,413066,SUWANNEE COUNTY,Residential
FL,177491,SUWANNEE COUNTY,Residential
FL,906786,SUWANNEE COUNTY,Residential
FL,252960,SUWANNEE COUNTY,Commercial
FL,753041,SUWANNEE COUNTY,Residential
FL,275656,SUWANNEE COUNTY,Commercial
FL,366151,SUWANNEE COUNTY,Residential
FL,143520,SUWANNEE COUNTY,Residential
FL,578715,SUWANNEE COUNTY,Residential
FL,728171,SUWANNEE COUNTY,Residential
FL,147189,SUWANNEE COUNTY,Residential
FL,626834,SUWANNEE COUNTY,Residential
FL,840720,SUWANNEE COUNTY,Residential
FL,911131,SUWANNEE COUNTY,Residential
FL,814705,SUWANNEE COUNTY,Residential
